date, Inflation Rate (%), Annual Change,Cumulative
1970-12-31,5.8383,0.38,1.058383
1971-12-31,4.2928,-1.55,1.103817265424
1972-12-31,3.2723,-1.02,1.13993747780047
1973-12-31,6.1778,2.91,1.21036053530403
1974-12-31,11.0548,4.88,1.34416347176082
1975-12-31,9.1431,-1.91,1.46706168214738
1976-12-31,5.7448,-3.4,1.55134144166338
1977-12-31,6.5017,0.76,1.65220500817601
1978-12-31,7.631,1.13,1.77828477234992
1979-12-31,11.2545,3.62,1.97842183205404
1980-12-31,13.5492,2.29,2.24648216292271
1981-12-31,10.3347,-3.21,2.47864935501428
1982-12-31,6.1314,-4.2,2.63062526156763
1983-12-31,3.2124,-2.92,2.71513146747023
1984-12-31,4.3005,1.09,2.83189569622879
1985-12-31,3.5456,-0.75,2.93230339003427
1986-12-31,1.898,-1.65,2.98795850837712
1987-12-31,3.6646,1.77,3.09745523587511
1988-12-31,4.0777,0.41,3.22376016802839
1989-12-31,4.827,0.75,3.37937107133912
1990-12-31,5.398,0.57,3.56178952177001
1991-12-31,4.235,-1.16,3.71263130801697
1992-12-31,3.0288,-1.21,3.82507948507419
1993-12-31,2.9517,-0.08,3.93798435623512
1994-12-31,2.6074,-0.34,4.0406633603396
1995-12-31,2.8054,0.2,4.15402013025056
1996-12-31,2.9312,0.13,4.27578276830847
1997-12-31,2.3377,-0.59,4.37573774208321
1998-12-31,1.5523,-0.79,4.44366231905357
1999-12-31,2.188,0.64,4.54088965059446
2000-12-31,3.3769,1.19,4.69423095320539
2001-12-31,2.8262,-0.55,4.82689930840488
2002-12-31,1.586,-1.24,4.90345393143618
2003-12-31,2.2701,0.68,5.01476723913371
2004-12-31,2.6772,0.41,5.1490225876598
2005-12-31,3.3927,0.72,5.32371347699133
2006-12-31,3.2259,-0.17,5.4954511500456
2007-12-31,2.8527,-0.37,5.65221988500295
2008-12-31,3.8391,0.99,5.86921425860809
2009-12-31,-0.3555,-4.19,5.84834920191874
2010-12-31,1.64,2,5.94426212883021
2011-12-31,3.1568,1.52,6.13191059571312
2012-12-31,2.0693,-1.09,6.25879822167021
2013-12-31,1.4648,-0.6,6.35047709802124
2014-12-31,1.6222,0.16,6.45349453750534
2015-12-31,0.1186,-1.5,6.46114838202682
2016-12-31,1.2616,1.14,6.54266223001447
2017-12-31,2.1301,0.87,6.68202747817601
2018-12-31,2.4426,0.31,6.84524268135794
2019-12-31,1.8122,-0.63,6.96929216922951
2020-12-31,1.2336,-0.58,7.05526535742912
