,Date,Median Home Price
0,1996-01-31,94898.40288461538
1,1996-02-29,94951.69548511047
2,1996-03-31,94936.20997123682
3,1996-04-30,95156.14354066986
4,1996-05-31,95393.30152671755
5,1996-06-30,95520.76095238095
6,1996-07-31,95752.32159847765
7,1996-08-31,95995.97815764483
8,1996-09-30,96218.51612903226
9,1996-10-31,96525.50995260663
10,1996-11-30,96740.904536862
11,1996-12-31,97080.4268177526
12,1997-01-31,97471.27891791044
13,1997-02-28,97854.27306616961
14,1997-03-31,98205.63568773234
15,1997-04-30,98671.77777777778
16,1997-05-31,99005.22550831793
17,1997-06-30,99392.4704797048
18,1997-07-31,99765.84990791896
19,1997-08-31,100130.20936639118
20,1997-09-30,100455.37271062272
21,1997-10-31,100875.61095890412
22,1997-11-30,101341.01912568306
23,1997-12-31,101765.58454545455
24,1998-01-31,102337.15475113122
25,1998-02-28,102805.59819004525
26,1998-03-31,103249.29411764706
27,1998-04-30,103545.7412712623
28,1998-05-31,103979.56990204808
29,1998-06-30,104279.85916740478
30,1998-07-31,104599.73409893992
31,1998-08-31,105117.70458553793
32,1998-09-30,105534.48284960422
33,1998-10-31,106121.75680421422
34,1998-11-30,106547.42192982456
35,1998-12-31,106942.81507449606
36,1999-01-31,107310.73821989528
37,1999-02-28,107547.44512195123
38,1999-03-31,107929.7797051171
39,1999-04-30,108433.10467128028
40,1999-05-31,109097.63058419243
41,1999-06-30,109713.12842465754
42,1999-07-31,110171.11904761905
43,1999-08-31,110594.91871295513
44,1999-09-30,111055.06144781144
45,1999-10-31,111517.06286672255
46,1999-11-30,111969.51378446116
47,1999-12-31,112521.38833333334
48,2000-01-31,113130.17164179105
49,2000-02-29,113746.42963576158
50,2000-03-31,114256.22671063479
51,2000-04-30,114513.75695581015
52,2000-05-31,115170.49021207177
53,2000-06-30,115843.66231647634
54,2000-07-31,116443.68643379366
55,2000-08-31,117089.37055016181
56,2000-09-30,117816.965210356
57,2000-10-31,118562.93042071197
58,2000-11-30,119278.42465753424
59,2000-12-31,120015.04746580853
60,2001-01-31,120919.78816946443
61,2001-02-28,121718.5055732484
62,2001-03-31,122480.68517049961
63,2001-04-30,123106.24287974683
64,2001-05-31,123964.60551181102
65,2001-06-30,124626.70274509804
66,2001-07-31,125252.9406713505
67,2001-08-31,125887.36519036519
68,2001-09-30,126486.1552795031
69,2001-10-31,127091.41582622188
70,2001-11-30,127599.47327652982
71,2001-12-31,128317.8430007734
72,2002-01-31,128887.9829853055
73,2002-02-28,129531.37471087124
74,2002-03-31,130110.39830508475
75,2002-04-30,130901.71867794005
76,2002-05-31,131540.33512269938
77,2002-06-30,132211.24100994645
78,2002-07-31,133020.74122137405
79,2002-08-31,133617.6286149163
80,2002-09-30,134146.4859742229
81,2002-10-31,134779.2409090909
82,2002-11-30,135542.37168811506
83,2002-12-31,136593.14361300075
84,2003-01-31,137236.91154422789
85,2003-02-28,138152.0971599402
86,2003-03-31,138883.38656716418
87,2003-04-30,139593.29643387816
88,2003-05-31,140144.1270310192
89,2003-06-30,140926.56848306334
90,2003-07-31,141608.13088235294
91,2003-08-31,142443.48243045388
92,2003-09-30,143452.83856829803
93,2003-10-31,144511.97018181818
94,2003-11-30,145342.3718228032
95,2003-12-31,146230.78229317852
96,2004-01-31,147115.18601297765
97,2004-02-29,148055.7629310345
98,2004-03-31,149040.8836545325
99,2004-04-30,150269.32693674485
100,2004-05-31,151487.51312987934
101,2004-06-30,152709.34039548022
102,2004-07-31,153665.06601123596
103,2004-08-31,154915.24544179524
104,2004-09-30,156077.00629811056
105,2004-10-31,157245.83182135382
106,2004-11-30,158456.59986130375
107,2004-12-31,159782.10075914423
108,2005-01-31,158832.94511806
109,2005-02-28,158333.05326876513
110,2005-03-31,156328.96937039137
111,2005-04-30,155556.79059595408
112,2005-05-31,155577.32961190856
113,2005-06-30,155653.17974025974
114,2005-07-31,156276.57230454776
