state,Date,Median
AK,1996-01-31,140577.0
AK,1996-02-29,141068.0
AK,1996-03-31,141495.0
AK,1996-04-30,142392.0
AK,1996-05-31,143023.0
AK,1996-06-30,143607.0
AK,1996-07-31,144044.0
AK,1996-08-31,144366.0
AK,1996-09-30,144528.0
AK,1996-10-31,144464.0
AK,1996-11-30,144367.0
AK,1996-12-31,144347.0
AK,1997-01-31,144934.0
AK,1997-02-28,145620.0
AK,1997-03-31,146247.0
AK,1997-04-30,146223.0
AK,1997-05-31,146598.0
AK,1997-06-30,146571.0
AK,1997-07-31,146769.0
AK,1997-08-31,147001.0
AK,1997-09-30,147688.0
AK,1997-10-31,148511.0
AK,1997-11-30,148926.0
AK,1997-12-31,149337.0
AK,1998-01-31,148873.0
AK,1998-02-28,148482.0
AK,1998-03-31,148087.0
AK,1998-04-30,148665.0
AK,1998-05-31,149122.0
AK,1998-06-30,150376.0
AK,1998-07-31,151703.0
AK,1998-08-31,153044.0
AK,1998-09-30,153900.0
AK,1998-10-31,154645.0
AK,1998-11-30,156250.0
AK,1998-12-31,157601.0
AK,1999-01-31,159297.0
AK,1999-02-28,160301.0
AK,1999-03-31,161384.0
AK,1999-04-30,161937.0
AK,1999-05-31,162595.0
AK,1999-06-30,163121.0
AK,1999-07-31,163215.0
AK,1999-08-31,163611.0
AK,1999-09-30,163969.0
AK,1999-10-31,165158.0
AK,1999-11-30,165862.0
AK,1999-12-31,166625.0
AK,2000-01-31,166240.0
AK,2000-02-29,165775.0
AK,2000-03-31,164996.0
AK,2000-04-30,164954.0
AK,2000-05-31,165178.0
AK,2000-06-30,165542.0
AK,2000-07-31,166389.0
AK,2000-08-31,167244.0
AK,2000-09-30,168606.0
AK,2000-10-31,169688.0
AK,2000-11-30,170902.0
AK,2000-12-31,172238.0
AK,2001-01-31,171212.0
AK,2001-02-28,161825.0
AK,2001-03-31,170993.4
AK,2001-04-30,171959.6
AK,2001-05-31,177249.7142857143
AK,2001-06-30,177841.1428571429
AK,2001-07-31,178597.42857142858
AK,2001-08-31,179073.1428571429
AK,2001-09-30,179712.1428571429
AK,2001-10-31,180355.8571428572
AK,2001-11-30,181126.7142857143
AK,2001-12-31,181917.1428571429
AK,2002-01-31,182616.57142857145
AK,2002-02-28,183222.2857142857
AK,2002-03-31,183868.2857142857
AK,2002-04-30,184772.7142857143
AK,2002-05-31,185276.7142857143
AK,2002-06-30,185697.2857142857
AK,2002-07-31,185794.42857142852
AK,2002-08-31,186101.1428571429
